Sentence,Intent,NER
add allergy to tree nuts for Alice Johnson,add_allergy,add/O allergy/O to/O tree/B-ALLERGY nuts/I-ALLERGY for/O Alice/B-PATIENT Johnson/I-PATIENT
consult with a cardiologist for Joe Doe,consult_specialist,consult/O with/O a/O cardiologist/B-SPECIALTY /I-SPECIALTY for/O Joe/B-PATIENT Doe/I-PATIENT
add new patient Maria Garcia 67 years old with covid-19,add_patient,add/O Maria/B-PATIENT Garcia/I-PATIENT/B-PATIENT 67/B-AGE years/O old/O with/O covid-19/B-DISEASE /I-DISEASE/B-DISEASE
consult with a cardiologist for Sophia Lewis,consult_specialist,consult/O with/O a/O cardiologist/B-SPECIALTY /I-SPECIALTY for/O Sophia/B-PATIENT Lewis/I-PATIENT
add allergy to shellfish for Joe Doe,add_allergy,add/O allergy/O to/O shellfish/B-ALLERGY /I-ALLERGY for/O Joe/B-PATIENT Doe/I-PATIENT
update medication dosage for aspirin to every 6 hours for Michael Clark,update_medication,update/O medication/O dosage/O for/O aspirin/B-MEDICATION /I-MEDICATION to/O every/B-DOSAGE 6 hours/I-DOSAGE for/O Michael/B-PATIENT Clark/I-PATIENT
remove medication ibuprofen from Emma Davis's treatment plan,remove_medication,remove/O medication/O ibuprofen/B-MEDICATION /I-MEDICATION from/O Emma/B-PATIENT Davis/I-PATIENT 's/O treatment/O plan/O
assign medication paracetamol after meals for Oliver Harris,assign_medication,assign/O medication/O paracetamol/B-MEDICATION /I-MEDICATIONafter/B-DOSAGE meals/I-DOSAGE for/O Oliver/B-PATIENT Harris/I-PATIENT
assign medication aspirin twice a day for Oliver Harris,assign_medication,assign/O medication/O aspirin/B-MEDICATION /I-MEDICATIONtwice/B-DOSAGE a day/I-DOSAGE for/O Oliver/B-PATIENT Harris/I-PATIENT
remove medication aspirin from Linda White's treatment plan,remove_medication,remove/O medication/O aspirin/B-MEDICATION /I-MEDICATION from/O Linda/B-PATIENT White/I-PATIENT 's/O treatment/O plan/O
get patient information for Sophia Lewis,get_patient_info,get/O patient/O information/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
consult with a cardiologist for James Brown,consult_specialist,consult/O with/O a/O cardiologist/B-SPECIALTY /I-SPECIALTY for/O James/B-PATIENT Brown/I-PATIENT
consult with a gastroenterologist for Michael Clark,consult_specialist,consult/O with/O a/O gastroenterologist/B-SPECIALTY /I-SPECIALTY for/O Michael/B-PATIENT Clark/I-PATIENT
update medication dosage for paracetamol to twice a day for Sophia Lewis,update_medication,update/O medication/O dosage/O for/O paracetamol/B-MEDICATION /I-MEDICATION to/O twice/B-DOSAGE a day/I-DOSAGE for/O Sophia/B-PATIENT Lewis/I-PATIENT
add new patient James Brown 49 years old with asthma,add_patient,add/O James/B-PATIENT Brown/I-PATIENT/B-PATIENT 49/B-AGE years/O old/O with/O asthma/B-DISEASE /I-DISEASE/B-DISEASE
update patient contact info for John Smith,update_contact_info,update/O patient/O contact/O info/O for/O John/B-PATIENT Smith/I-PATIENT
get patient information for Alice Johnson,get_patient_info,get/O patient/O information/O for/O Alice/B-PATIENT Johnson/I-PATIENT
consult with a cardiologist for Joe Doe,consult_specialist,consult/O with/O a/O cardiologist/B-SPECIALTY /I-SPECIALTY for/O Joe/B-PATIENT Doe/I-PATIENT
schedule heart bypass for Michael Clark,schedule_surgery,schedule/O heart/B-SURGERY bypass/I-SURGERY for/O Michael/B-PATIENT Clark/I-PATIENT
remove medication aspirin from Linda White's treatment plan,remove_medication,remove/O medication/O aspirin/B-MEDICATION /I-MEDICATION from/O Linda/B-PATIENT White/I-PATIENT 's/O treatment/O plan/O
update medication dosage for statins to twice a day for Joe Doe,update_medication,update/O medication/O dosage/O for/O statins/B-MEDICATION /I-MEDICATION to/O twice/B-DOSAGE a day/I-DOSAGE for/O Joe/B-PATIENT Doe/I-PATIENT
add allergy to gluten for Sophia Lewis,add_allergy,add/O allergy/O to/O gluten/B-ALLERGY /I-ALLERGY for/O Sophia/B-PATIENT Lewis/I-PATIENT
schedule knee surgery for Sophia Lewis,schedule_surgery,schedule/O knee/B-SURGERY surgery/I-SURGERY for/O Sophia/B-PATIENT Lewis/I-PATIENT
remove medication ibuprofen from Sophia Lewis's treatment plan,remove_medication,remove/O medication/O ibuprofen/B-MEDICATION /I-MEDICATION from/O Sophia/B-PATIENT Lewis/I-PATIENT 's/O treatment/O plan/O
add new patient Michael Clark 28 years old with asthma,add_patient,add/O Michael/B-PATIENT Clark/I-PATIENT/B-PATIENT 28/B-AGE years/O old/O with/O asthma/B-DISEASE /I-DISEASE/B-DISEASE
order blood test for Linda White,order_blood_test,order/O blood/O test/O for/O Linda/B-PATIENT White/I-PATIENT
schedule cataract surgery for Maria Garcia,schedule_surgery,schedule/O cataract/B-SURGERY surgery/I-SURGERY for/O Maria/B-PATIENT Garcia/I-PATIENT
assign medication paracetamol every 6 hours for Alice Johnson,assign_medication,assign/O medication/O paracetamol/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE 6 hours/I-DOSAGE for/O Alice/B-PATIENT Johnson/I-PATIENT
get patient information for Maria Garcia,get_patient_info,get/O patient/O information/O for/O Maria/B-PATIENT Garcia/I-PATIENT
order blood test for John Smith,order_blood_test,order/O blood/O test/O for/O John/B-PATIENT Smith/I-PATIENT
add allergy to gluten for Sophia Lewis,add_allergy,add/O allergy/O to/O gluten/B-ALLERGY /I-ALLERGY for/O Sophia/B-PATIENT Lewis/I-PATIENT
check lab results for John Smith,check_lab_results,check/O lab/O results/O for/O John/B-PATIENT Smith/I-PATIENT
discharge patient Michael Clark,discharge_patient,discharge/O patient/O Michael/B-PATIENT Clark/I-PATIENT
assign medication atenolol before meals for James Brown,assign_medication,assign/O medication/O atenolol/B-MEDICATION /I-MEDICATIONbefore/B-DOSAGE meals/I-DOSAGE for/O James/B-PATIENT Brown/I-PATIENT
assign medication amoxicillin as needed for Sophia Lewis,assign_medication,assign/O medication/O amoxicillin/B-MEDICATION /I-MEDICATIONas/B-DOSAGE needed/I-DOSAGE for/O Sophia/B-PATIENT Lewis/I-PATIENT
assign medication statins after meals for Maria Garcia,assign_medication,assign/O medication/O statins/B-MEDICATION /I-MEDICATIONafter/B-DOSAGE meals/I-DOSAGE for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule cataract surgery for Oliver Harris,schedule_surgery,schedule/O cataract/B-SURGERY surgery/I-SURGERY for/O Oliver/B-PATIENT Harris/I-PATIENT
get patient information for James Brown,get_patient_info,get/O patient/O information/O for/O James/B-PATIENT Brown/I-PATIENT
add new patient Michael Clark 55 years old with covid-19,add_patient,add/O Michael/B-PATIENT Clark/I-PATIENT/B-PATIENT 55/B-AGE years/O old/O with/O covid-19/B-DISEASE /I-DISEASE/B-DISEASE
check lab results for John Smith,check_lab_results,check/O lab/O results/O for/O John/B-PATIENT Smith/I-PATIENT
get patient information for Maria Garcia,get_patient_info,get/O patient/O information/O for/O Maria/B-PATIENT Garcia/I-PATIENT
remove medication amoxicillin from Maria Garcia's treatment plan,remove_medication,remove/O medication/O amoxicillin/B-MEDICATION /I-MEDICATION from/O Maria/B-PATIENT Garcia/I-PATIENT 's/O treatment/O plan/O
schedule appointment for Oliver Harris next week,schedule_appointment,schedule/O appointment/O for/O Oliver/B-PATIENT Harris/I-PATIENT next/O week/O
get patient information for John Smith,get_patient_info,get/O patient/O information/O for/O John/B-PATIENT Smith/I-PATIENT
remove medication gabapentin from Oliver Harris's treatment plan,remove_medication,remove/O medication/O gabapentin/B-MEDICATION /I-MEDICATION from/O Oliver/B-PATIENT Harris/I-PATIENT 's/O treatment/O plan/O
schedule knee surgery for Joe Doe,schedule_surgery,schedule/O knee/B-SURGERY surgery/I-SURGERY for/O Joe/B-PATIENT Doe/I-PATIENT
schedule appendectomy for Alice Johnson,schedule_surgery,schedule/O appendectomy/B-SURGERY /I-SURGERY for/O Alice/B-PATIENT Johnson/I-PATIENT
remove medication aspirin from Joe Doe's treatment plan,remove_medication,remove/O medication/O aspirin/B-MEDICATION /I-MEDICATION from/O Joe/B-PATIENT Doe/I-PATIENT 's/O treatment/O plan/O
check lab results for Oliver Harris,check_lab_results,check/O lab/O results/O for/O Oliver/B-PATIENT Harris/I-PATIENT
schedule spinal surgery for Maria Garcia,schedule_surgery,schedule/O spinal/B-SURGERY surgery/I-SURGERY for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule appointment for Sophia Lewis next week,schedule_appointment,schedule/O appointment/O for/O Sophia/B-PATIENT Lewis/I-PATIENT next/O week/O
update patient contact info for Linda White,update_contact_info,update/O patient/O contact/O info/O for/O Linda/B-PATIENT White/I-PATIENT
assign medication ibuprofen every evening for Oliver Harris,assign_medication,assign/O medication/O ibuprofen/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE evening/I-DOSAGE for/O Oliver/B-PATIENT Harris/I-PATIENT
check lab results for Alice Johnson,check_lab_results,check/O lab/O results/O for/O Alice/B-PATIENT Johnson/I-PATIENT
check lab results for Alice Johnson,check_lab_results,check/O lab/O results/O for/O Alice/B-PATIENT Johnson/I-PATIENT
assign medication paracetamol every evening for Linda White,assign_medication,assign/O medication/O paracetamol/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE evening/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
update medical history for Joe Doe,update_medical_history,update/O medical/O history/O for/O Joe/B-PATIENT Doe/I-PATIENT
schedule appointment for Emma Davis next week,schedule_appointment,schedule/O appointment/O for/O Emma/B-PATIENT Davis/I-PATIENT next/O week/O
schedule heart bypass for Emma Davis,schedule_surgery,schedule/O heart/B-SURGERY bypass/I-SURGERY for/O Emma/B-PATIENT Davis/I-PATIENT
get patient information for Emma Davis,get_patient_info,get/O patient/O information/O for/O Emma/B-PATIENT Davis/I-PATIENT
remove medication atenolol from James Brown's treatment plan,remove_medication,remove/O medication/O atenolol/B-MEDICATION /I-MEDICATION from/O James/B-PATIENT Brown/I-PATIENT 's/O treatment/O plan/O
schedule appointment for Alice Johnson next week,schedule_appointment,schedule/O appointment/O for/O Alice/B-PATIENT Johnson/I-PATIENT next/O week/O
add allergy to peanuts for Emma Davis,add_allergy,add/O allergy/O to/O peanuts/B-ALLERGY /I-ALLERGY for/O Emma/B-PATIENT Davis/I-PATIENT
order x-ray for James Brown,order_xray,order/O x-ray/O for/O James/B-PATIENT Brown/I-PATIENT
order x-ray for James Brown,order_xray,order/O x-ray/O for/O James/B-PATIENT Brown/I-PATIENT
get patient information for Linda White,get_patient_info,get/O patient/O information/O for/O Linda/B-PATIENT White/I-PATIENT
schedule heart bypass for Emma Davis,schedule_surgery,schedule/O heart/B-SURGERY bypass/I-SURGERY for/O Emma/B-PATIENT Davis/I-PATIENT
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
order x-ray for Joe Doe,order_xray,order/O x-ray/O for/O Joe/B-PATIENT Doe/I-PATIENT
check lab results for John Smith,check_lab_results,check/O lab/O results/O for/O John/B-PATIENT Smith/I-PATIENT
order blood test for Maria Garcia,order_blood_test,order/O blood/O test/O for/O Maria/B-PATIENT Garcia/I-PATIENT
discharge patient Maria Garcia,discharge_patient,discharge/O patient/O Maria/B-PATIENT Garcia/I-PATIENT
add new patient John Smith 34 years old with arthritis,add_patient,add/O John/B-PATIENT Smith/I-PATIENT/B-PATIENT 34/B-AGE years/O old/O with/O arthritis/B-DISEASE /I-DISEASE/B-DISEASE
update medication dosage for aspirin to as needed for Maria Garcia,update_medication,update/O medication/O dosage/O for/O aspirin/B-MEDICATION /I-MEDICATION to/O as/B-DOSAGE needed/I-DOSAGE for/O Maria/B-PATIENT Garcia/I-PATIENT
add new patient Sophia Lewis 46 years old with covid-19,add_patient,add/O Sophia/B-PATIENT Lewis/I-PATIENT/B-PATIENT 46/B-AGE years/O old/O with/O covid-19/B-DISEASE /I-DISEASE/B-DISEASE
update patient contact info for Michael Clark,update_contact_info,update/O patient/O contact/O info/O for/O Michael/B-PATIENT Clark/I-PATIENT
add allergy to peanuts for James Brown,add_allergy,add/O allergy/O to/O peanuts/B-ALLERGY /I-ALLERGY for/O James/B-PATIENT Brown/I-PATIENT
assign medication lorazepam every 8 hours for James Brown,assign_medication,assign/O medication/O lorazepam/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE 8 hours/I-DOSAGE for/O James/B-PATIENT Brown/I-PATIENT
get patient information for Michael Clark,get_patient_info,get/O patient/O information/O for/O Michael/B-PATIENT Clark/I-PATIENT
add allergy to tree nuts for Emma Davis,add_allergy,add/O allergy/O to/O tree/B-ALLERGY nuts/I-ALLERGY for/O Emma/B-PATIENT Davis/I-PATIENT
order x-ray for James Brown,order_xray,order/O x-ray/O for/O James/B-PATIENT Brown/I-PATIENT
update medication dosage for insulin to as needed for Michael Clark,update_medication,update/O medication/O dosage/O for/O insulin/B-MEDICATION /I-MEDICATION to/O as/B-DOSAGE needed/I-DOSAGE for/O Michael/B-PATIENT Clark/I-PATIENT
check lab results for Linda White,check_lab_results,check/O lab/O results/O for/O Linda/B-PATIENT White/I-PATIENT
update medical history for Emma Davis,update_medical_history,update/O medical/O history/O for/O Emma/B-PATIENT Davis/I-PATIENT
assign medication ibuprofen before meals for Oliver Harris,assign_medication,assign/O medication/O ibuprofen/B-MEDICATION /I-MEDICATIONbefore/B-DOSAGE meals/I-DOSAGE for/O Oliver/B-PATIENT Harris/I-PATIENT
order x-ray for Emma Davis,order_xray,order/O x-ray/O for/O Emma/B-PATIENT Davis/I-PATIENT
get patient information for Emma Davis,get_patient_info,get/O patient/O information/O for/O Emma/B-PATIENT Davis/I-PATIENT
update patient contact info for James Brown,update_contact_info,update/O patient/O contact/O info/O for/O James/B-PATIENT Brown/I-PATIENT
schedule appointment for Michael Clark next week,schedule_appointment,schedule/O appointment/O for/O Michael/B-PATIENT Clark/I-PATIENT next/O week/O
get patient information for Alice Johnson,get_patient_info,get/O patient/O information/O for/O Alice/B-PATIENT Johnson/I-PATIENT
update medication dosage for amoxicillin to every 8 hours for Emma Davis,update_medication,update/O medication/O dosage/O for/O amoxicillin/B-MEDICATION /I-MEDICATION to/O every/B-DOSAGE 8 hours/I-DOSAGE for/O Emma/B-PATIENT Davis/I-PATIENT
schedule appointment for Joe Doe next week,schedule_appointment,schedule/O appointment/O for/O Joe/B-PATIENT Doe/I-PATIENT next/O week/O
assign medication amoxicillin every evening for Oliver Harris,assign_medication,assign/O medication/O amoxicillin/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE evening/I-DOSAGE for/O Oliver/B-PATIENT Harris/I-PATIENT
schedule appointment for Michael Clark next week,schedule_appointment,schedule/O appointment/O for/O Michael/B-PATIENT Clark/I-PATIENT next/O week/O
remove medication statins from Emma Davis's treatment plan,remove_medication,remove/O medication/O statins/B-MEDICATION /I-MEDICATION from/O Emma/B-PATIENT Davis/I-PATIENT 's/O treatment/O plan/O
check lab results for Oliver Harris,check_lab_results,check/O lab/O results/O for/O Oliver/B-PATIENT Harris/I-PATIENT
schedule appendectomy for Alice Johnson,schedule_surgery,schedule/O appendectomy/B-SURGERY /I-SURGERY for/O Alice/B-PATIENT Johnson/I-PATIENT
order blood test for Michael Clark,order_blood_test,order/O blood/O test/O for/O Michael/B-PATIENT Clark/I-PATIENT
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
order x-ray for Emma Davis,order_xray,order/O x-ray/O for/O Emma/B-PATIENT Davis/I-PATIENT
add allergy to tree nuts for Linda White,add_allergy,add/O allergy/O to/O tree/B-ALLERGY nuts/I-ALLERGY for/O Linda/B-PATIENT White/I-PATIENT
update medication dosage for metformin to as needed for Joe Doe,update_medication,update/O medication/O dosage/O for/O metformin/B-MEDICATION /I-MEDICATION to/O as/B-DOSAGE needed/I-DOSAGE for/O Joe/B-PATIENT Doe/I-PATIENT
update medical history for Alice Johnson,update_medical_history,update/O medical/O history/O for/O Alice/B-PATIENT Johnson/I-PATIENT
discharge patient Emma Davis,discharge_patient,discharge/O patient/O Emma/B-PATIENT Davis/I-PATIENT
order blood test for Maria Garcia,order_blood_test,order/O blood/O test/O for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule appointment for Maria Garcia next week,schedule_appointment,schedule/O appointment/O for/O Maria/B-PATIENT Garcia/I-PATIENT next/O week/O
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
update patient contact info for Linda White,update_contact_info,update/O patient/O contact/O info/O for/O Linda/B-PATIENT White/I-PATIENT
update medical history for James Brown,update_medical_history,update/O medical/O history/O for/O James/B-PATIENT Brown/I-PATIENT
discharge patient Emma Davis,discharge_patient,discharge/O patient/O Emma/B-PATIENT Davis/I-PATIENT
add new patient James Brown 34 years old with arthritis,add_patient,add/O James/B-PATIENT Brown/I-PATIENT/B-PATIENT 34/B-AGE years/O old/O with/O arthritis/B-DISEASE /I-DISEASE/B-DISEASE
remove medication metformin from James Brown's treatment plan,remove_medication,remove/O medication/O metformin/B-MEDICATION /I-MEDICATION from/O James/B-PATIENT Brown/I-PATIENT 's/O treatment/O plan/O
order blood test for Maria Garcia,order_blood_test,order/O blood/O test/O for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule appointment for Michael Clark next week,schedule_appointment,schedule/O appointment/O for/O Michael/B-PATIENT Clark/I-PATIENT next/O week/O
update patient contact info for Joe Doe,update_contact_info,update/O patient/O contact/O info/O for/O Joe/B-PATIENT Doe/I-PATIENT
schedule knee surgery for Maria Garcia,schedule_surgery,schedule/O knee/B-SURGERY surgery/I-SURGERY for/O Maria/B-PATIENT Garcia/I-PATIENT
schedule appointment for James Brown next week,schedule_appointment,schedule/O appointment/O for/O James/B-PATIENT Brown/I-PATIENT next/O week/O
remove medication lorazepam from Oliver Harris's treatment plan,remove_medication,remove/O medication/O lorazepam/B-MEDICATION /I-MEDICATION from/O Oliver/B-PATIENT Harris/I-PATIENT 's/O treatment/O plan/O
update medication dosage for aspirin to every evening for Sophia Lewis,update_medication,update/O medication/O dosage/O for/O aspirin/B-MEDICATION /I-MEDICATION to/O every/B-DOSAGE evening/I-DOSAGE for/O Sophia/B-PATIENT Lewis/I-PATIENT
update medical history for Michael Clark,update_medical_history,update/O medical/O history/O for/O Michael/B-PATIENT Clark/I-PATIENT
schedule appendectomy for Oliver Harris,schedule_surgery,schedule/O appendectomy/B-SURGERY /I-SURGERY for/O Oliver/B-PATIENT Harris/I-PATIENT
get patient information for John Smith,get_patient_info,get/O patient/O information/O for/O John/B-PATIENT Smith/I-PATIENT
order blood test for Maria Garcia,order_blood_test,order/O blood/O test/O for/O Maria/B-PATIENT Garcia/I-PATIENT
consult with a gastroenterologist for Joe Doe,consult_specialist,consult/O with/O a/O gastroenterologist/B-SPECIALTY /I-SPECIALTY for/O Joe/B-PATIENT Doe/I-PATIENT
schedule appendectomy for Oliver Harris,schedule_surgery,schedule/O appendectomy/B-SURGERY /I-SURGERY for/O Oliver/B-PATIENT Harris/I-PATIENT
consult with a dermatologist for Linda White,consult_specialist,consult/O with/O a/O dermatologist/B-SPECIALTY /I-SPECIALTY for/O Linda/B-PATIENT White/I-PATIENT
add allergy to tree nuts for Michael Clark,add_allergy,add/O allergy/O to/O tree/B-ALLERGY nuts/I-ALLERGY for/O Michael/B-PATIENT Clark/I-PATIENT
add allergy to latex for Emma Davis,add_allergy,add/O allergy/O to/O latex/B-ALLERGY /I-ALLERGY for/O Emma/B-PATIENT Davis/I-PATIENT
remove medication lorazepam from Michael Clark's treatment plan,remove_medication,remove/O medication/O lorazepam/B-MEDICATION /I-MEDICATION from/O Michael/B-PATIENT Clark/I-PATIENT 's/O treatment/O plan/O
add new patient Oliver Harris 75 years old with depression,add_patient,add/O Oliver/B-PATIENT Harris/I-PATIENT/B-PATIENT 75/B-AGE years/O old/O with/O depression/B-DISEASE /I-DISEASE/B-DISEASE
discharge patient Alice Johnson,discharge_patient,discharge/O patient/O Alice/B-PATIENT Johnson/I-PATIENT
consult with a gastroenterologist for John Smith,consult_specialist,consult/O with/O a/O gastroenterologist/B-SPECIALTY /I-SPECIALTY for/O John/B-PATIENT Smith/I-PATIENT
schedule appointment for Joe Doe next week,schedule_appointment,schedule/O appointment/O for/O Joe/B-PATIENT Doe/I-PATIENT next/O week/O
discharge patient Michael Clark,discharge_patient,discharge/O patient/O Michael/B-PATIENT Clark/I-PATIENT
update medical history for John Smith,update_medical_history,update/O medical/O history/O for/O John/B-PATIENT Smith/I-PATIENT
remove medication atenolol from James Brown's treatment plan,remove_medication,remove/O medication/O atenolol/B-MEDICATION /I-MEDICATION from/O James/B-PATIENT Brown/I-PATIENT 's/O treatment/O plan/O
remove medication statins from James Brown's treatment plan,remove_medication,remove/O medication/O statins/B-MEDICATION /I-MEDICATION from/O James/B-PATIENT Brown/I-PATIENT 's/O treatment/O plan/O
schedule heart bypass for James Brown,schedule_surgery,schedule/O heart/B-SURGERY bypass/I-SURGERY for/O James/B-PATIENT Brown/I-PATIENT
schedule appointment for Oliver Harris next week,schedule_appointment,schedule/O appointment/O for/O Oliver/B-PATIENT Harris/I-PATIENT next/O week/O
check lab results for Emma Davis,check_lab_results,check/O lab/O results/O for/O Emma/B-PATIENT Davis/I-PATIENT
discharge patient Michael Clark,discharge_patient,discharge/O patient/O Michael/B-PATIENT Clark/I-PATIENT
add allergy to tree nuts for Michael Clark,add_allergy,add/O allergy/O to/O tree/B-ALLERGY nuts/I-ALLERGY for/O Michael/B-PATIENT Clark/I-PATIENT
order blood test for Sophia Lewis,order_blood_test,order/O blood/O test/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
order x-ray for Michael Clark,order_xray,order/O x-ray/O for/O Michael/B-PATIENT Clark/I-PATIENT
schedule appointment for John Smith next week,schedule_appointment,schedule/O appointment/O for/O John/B-PATIENT Smith/I-PATIENT next/O week/O
remove medication lorazepam from Oliver Harris's treatment plan,remove_medication,remove/O medication/O lorazepam/B-MEDICATION /I-MEDICATION from/O Oliver/B-PATIENT Harris/I-PATIENT 's/O treatment/O plan/O
add new patient James Brown 35 years old with chronic pain,add_patient,add/O James/B-PATIENT Brown/I-PATIENT/B-PATIENT 35/B-AGE years/O old/O with/O chronic/B-DISEASE pain/I-DISEASE/B-DISEASE
assign medication lorazepam every morning for Michael Clark,assign_medication,assign/O medication/O lorazepam/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE morning/I-DOSAGE for/O Michael/B-PATIENT Clark/I-PATIENT
assign medication amoxicillin every 8 hours for Linda White,assign_medication,assign/O medication/O amoxicillin/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE 8 hours/I-DOSAGE for/O Linda/B-PATIENT White/I-PATIENT
assign medication ibuprofen every morning for Oliver Harris,assign_medication,assign/O medication/O ibuprofen/B-MEDICATION /I-MEDICATIONevery/B-DOSAGE morning/I-DOSAGE for/O Oliver/B-PATIENT Harris/I-PATIENT
discharge patient James Brown,discharge_patient,discharge/O patient/O James/B-PATIENT Brown/I-PATIENT
discharge patient John Smith,discharge_patient,discharge/O patient/O John/B-PATIENT Smith/I-PATIENT
order x-ray for Linda White,order_xray,order/O x-ray/O for/O Linda/B-PATIENT White/I-PATIENT
get patient information for Linda White,get_patient_info,get/O patient/O information/O for/O Linda/B-PATIENT White/I-PATIENT
get patient information for Emma Davis,get_patient_info,get/O patient/O information/O for/O Emma/B-PATIENT Davis/I-PATIENT
order blood test for Emma Davis,order_blood_test,order/O blood/O test/O for/O Emma/B-PATIENT Davis/I-PATIENT
update patient contact info for Sophia Lewis,update_contact_info,update/O patient/O contact/O info/O for/O Sophia/B-PATIENT Lewis/I-PATIENT
discharge patient Michael Clark,discharge_patient,discharge/O patient/O Michael/B-PATIENT Clark/I-PATIENT
consult with a dermatologist for Alice Johnson,consult_specialist,consult/O with/O a/O dermatologist/B-SPECIALTY /I-SPECIALTY for/O Alice/B-PATIENT Johnson/I-PATIENT
discharge patient Linda White,discharge_patient,discharge/O patient/O Linda/B-PATIENT White/I-PATIENT
