tokens,ner_tags,intent
"['assign', 'medication', 'paracetamol', 'every', '6', 'hours', 'for', 'Sophia', 'Lewis']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['discharge', 'patient', 'James', 'Brown']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['assign', 'medication', 'lorazepam', 'as', 'needed', 'for', 'Sophia', 'Lewis']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['check', 'lab', 'results', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['check', 'lab', 'results', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['check', 'lab', 'results', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['assign', 'medication', 'aspirin', 'twice', 'a', 'day', 'for', 'Emma', 'Davis']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['check', 'lab', 'results', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['add', 'allergy', 'to', 'tree', 'nuts', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'B-ALLERGY', 'I-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['assign', 'medication', 'metformin', 'every', 'evening', 'for', 'Sophia', 'Lewis']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['schedule', 'knee', 'surgery', 'for', 'Sophia', 'Lewis']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['remove', 'medication', 'gabapentin', 'from', 'Michael', 'Clark', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['check', 'lab', 'results', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['check', 'lab', 'results', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['get', 'patient', 'information', 'for', 'John', 'Smith']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['schedule', 'appointment', 'for', 'Maria', 'Garcia', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['check', 'lab', 'results', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['remove', 'medication', 'ibuprofen', 'from', 'John', 'Smith', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['assign', 'medication', 'ibuprofen', 'every', '8', 'hours', 'for', 'Michael', 'Clark']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['check', 'lab', 'results', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['order', 'x-ray', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['discharge', 'patient', 'Maria', 'Garcia']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['schedule', 'heart', 'bypass', 'for', 'Michael', 'Clark']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['add', 'John', 'Smith/I-PATIENT', '39', 'years', 'old', 'with', 'heart', 'disease/I-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE', 'B-DISEASE']",add_patient
"['get', 'patient', 'information', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['check', 'lab', 'results', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['consult', 'with', 'a', 'orthopedic', 'surgeon', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'B-SPECIALTY', 'I-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['remove', 'medication', 'ibuprofen', 'from', 'John', 'Smith', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['get', 'patient', 'information', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['update', 'medical', 'history', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['update', 'patient', 'contact', 'info', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['schedule', 'appointment', 'for', 'Alice', 'Johnson', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['check', 'lab', 'results', 'for', 'Emma', 'Davis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['remove', 'medication', 'statins', 'from', 'Linda', 'White', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['add', 'Alice', 'Johnson/I-PATIENT', '51', 'years', 'old', 'with', 'depression/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['consult', 'with', 'a', 'dermatologist', 'for', 'Linda', 'White']","['O', 'O', 'O', 'B-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['schedule', 'spinal', 'surgery', 'for', 'John', 'Smith']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['update', 'medical', 'history', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['discharge', 'patient', 'Joe', 'Doe']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['add', 'Sophia', 'Lewis/I-PATIENT', '54', 'years', 'old', 'with', 'anemia/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['assign', 'medication', 'atenolol', 'every', 'morning', 'for', 'Sophia', 'Lewis']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['add', 'Michael', 'Clark/I-PATIENT', '51', 'years', 'old', 'with', 'covid-19/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['update', 'medical', 'history', 'for', 'Emma', 'Davis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['add', 'allergy', 'to', 'latex', 'for', 'Linda', 'White']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['update', 'patient', 'contact', 'info', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['order', 'x-ray', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['check', 'lab', 'results', 'for', 'Michael', 'Clark']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['assign', 'medication', 'amoxicillin', 'every', '4', 'hours', 'for', 'Maria', 'Garcia']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['consult', 'with', 'a', 'cardiologist', 'for', 'James', 'Brown']","['O', 'O', 'O', 'B-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['remove', 'medication', 'statins', 'from', 'Oliver', 'Harris', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['check', 'lab', 'results', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['remove', 'medication', 'aspirin', 'from', 'James', 'Brown', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['schedule', 'spinal', 'surgery', 'for', 'John', 'Smith']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['check', 'lab', 'results', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['update', 'patient', 'contact', 'info', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['remove', 'medication', 'metformin', 'from', 'Maria', 'Garcia', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['update', 'medication', 'dosage', 'for', 'amoxicillin', 'to', 'every', 'morning', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['order', 'blood', 'test', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_blood_test
"['schedule', 'appointment', 'for', 'James', 'Brown', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['schedule', 'appendectomy', 'for', 'Maria', 'Garcia']","['O', 'B-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['remove', 'medication', 'insulin', 'from', 'Sophia', 'Lewis', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['update', 'patient', 'contact', 'info', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['update', 'medication', 'dosage', 'for', 'paracetamol', 'to', 'every', '8', 'hours', 'for', 'Emma', 'Davis']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['get', 'patient', 'information', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['remove', 'medication', 'atenolol', 'from', 'Emma', 'Davis', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['add', 'allergy', 'to', 'peanuts', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['add', 'allergy', 'to', 'dust', 'for', 'John', 'Smith']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['assign', 'medication', 'paracetamol', 'every', '4', 'hours', 'for', 'Sophia', 'Lewis']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['check', 'lab', 'results', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['consult', 'with', 'a', 'gastroenterologist', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'B-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['get', 'patient', 'information', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['schedule', 'cataract', 'surgery', 'for', 'Emma', 'Davis']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['update', 'medical', 'history', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['discharge', 'patient', 'Oliver', 'Harris']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['consult', 'with', 'a', 'orthopedic', 'surgeon', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'B-SPECIALTY', 'I-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['update', 'medical', 'history', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['schedule', 'spinal', 'surgery', 'for', 'James', 'Brown']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
"['update', 'patient', 'contact', 'info', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['assign', 'medication', 'aspirin', 'as', 'needed', 'for', 'John', 'Smith']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['remove', 'medication', 'atenolol', 'from', 'Linda', 'White', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['update', 'medication', 'dosage', 'for', 'paracetamol', 'to', 'after', 'meals', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['order', 'x-ray', 'for', 'James', 'Brown']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['update', 'medical', 'history', 'for', 'Maria', 'Garcia']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['update', 'medication', 'dosage', 'for', 'ibuprofen', 'to', 'twice', 'a', 'day', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['get', 'patient', 'information', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['update', 'medication', 'dosage', 'for', 'gabapentin', 'to', 'before', 'meals', 'for', 'Michael', 'Clark']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['update', 'medical', 'history', 'for', 'John', 'Smith']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['order', 'blood', 'test', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_blood_test
"['get', 'patient', 'information', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['assign', 'medication', 'aspirin', 'twice', 'a', 'day', 'for', 'John', 'Smith']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['update', 'patient', 'contact', 'info', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['add', 'Oliver', 'Harris/I-PATIENT', '52', 'years', 'old', 'with', 'flu/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['schedule', 'appointment', 'for', 'John', 'Smith', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['remove', 'medication', 'lorazepam', 'from', 'James', 'Brown', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['schedule', 'appointment', 'for', 'Oliver', 'Harris', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['remove', 'medication', 'aspirin', 'from', 'Sophia', 'Lewis', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['add', 'James', 'Brown/I-PATIENT', '79', 'years', 'old', 'with', 'chronic', 'pain/I-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE', 'B-DISEASE']",add_patient
"['get', 'patient', 'information', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",get_patient_info
"['discharge', 'patient', 'Joe', 'Doe']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['discharge', 'patient', 'Emma', 'Davis']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['schedule', 'appointment', 'for', 'Sophia', 'Lewis', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['add', 'Maria', 'Garcia/I-PATIENT', '61', 'years', 'old', 'with', 'heart', 'disease/I-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE', 'B-DISEASE']",add_patient
"['schedule', 'appointment', 'for', 'Joe', 'Doe', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['consult', 'with', 'a', 'neurologist', 'for', 'Joe', 'Doe']","['O', 'O', 'O', 'B-SPECIALTY', 'O', 'B-PATIENT', 'I-PATIENT']",consult_specialist
"['update', 'patient', 'contact', 'info', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['add', 'allergy', 'to', 'penicillin', 'for', 'John', 'Smith']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['assign', 'medication', 'gabapentin', 'after', 'meals', 'for', 'Michael', 'Clark']","['O', 'O', 'B-MEDICATION', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",assign_medication
"['discharge', 'patient', 'John', 'Smith']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['update', 'medication', 'dosage', 'for', 'metformin', 'to', 'before', 'meals', 'for', 'John', 'Smith']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['order', 'blood', 'test', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_blood_test
"['check', 'lab', 'results', 'for', 'Oliver', 'Harris']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['add', 'allergy', 'to', 'peanuts', 'for', 'Linda', 'White']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['order', 'x-ray', 'for', 'Emma', 'Davis']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['schedule', 'appointment', 'for', 'Emma', 'Davis', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['discharge', 'patient', 'Oliver', 'Harris']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['order', 'x-ray', 'for', 'Michael', 'Clark']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",order_xray
"['discharge', 'patient', 'Linda', 'White']","['O', 'O', 'B-PATIENT', 'I-PATIENT']",discharge_patient
"['remove', 'medication', 'amoxicillin', 'from', 'Maria', 'Garcia', ""'s"", 'treatment', 'plan']","['O', 'O', 'B-MEDICATION', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O', 'O']",remove_medication
"['update', 'medication', 'dosage', 'for', 'amoxicillin', 'to', 'once', 'a', 'day', 'for', 'Alice', 'Johnson']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['update', 'patient', 'contact', 'info', 'for', 'James', 'Brown']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['update', 'patient', 'contact', 'info', 'for', 'Sophia', 'Lewis']","['O', 'O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_contact_info
"['update', 'medication', 'dosage', 'for', 'insulin', 'to', 'every', 'morning', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'B-MEDICATION', 'O', 'B-DOSAGE', 'I-DOSAGE', 'O', 'B-PATIENT', 'I-PATIENT']",update_medication
"['check', 'lab', 'results', 'for', 'Linda', 'White']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",check_lab_results
"['schedule', 'appointment', 'for', 'Linda', 'White', 'next', 'week']","['O', 'O', 'O', 'B-PATIENT', 'I-PATIENT', 'O', 'O']",schedule_appointment
"['add', 'Maria', 'Garcia/I-PATIENT', '50', 'years', 'old', 'with', 'covid-19/B-DISEASE']","['O', 'B-PATIENT', 'B-PATIENT', 'B-AGE', 'O', 'O', 'O', 'B-DISEASE']",add_patient
"['add', 'allergy', 'to', 'peanuts', 'for', 'Michael', 'Clark']","['O', 'O', 'O', 'B-ALLERGY', 'O', 'B-PATIENT', 'I-PATIENT']",add_allergy
"['update', 'medical', 'history', 'for', 'Emma', 'Davis']","['O', 'O', 'O', 'O', 'B-PATIENT', 'I-PATIENT']",update_medical_history
"['schedule', 'heart', 'bypass', 'for', 'Oliver', 'Harris']","['O', 'B-SURGERY', 'I-SURGERY', 'O', 'B-PATIENT', 'I-PATIENT']",schedule_surgery
